task,sample_id,structure_group_id,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,simulation_temperature,ge_width_scale,optical_power_W,voltage_at_gain_threshold_v,_curve_id
APD_V_M10,apd_20260818_00087,apd_structure_20260818_00043,2.33670854307673e-09,2600.131892296308,854.1353248743457,310.0595319977491,0.9981515771142008,3e-07,-9.489655030621766,apd_structure_20260818_00043
APD_V_M10,apd_20260818_00089,apd_structure_20260818_00044,3.3051295309629207e-10,4297.875328749432,730.8926979971193,293.8101801049708,0.985565970849502,3e-07,-9.495096367676105,apd_structure_20260818_00044
APD_V_M10,apd_20260818_00093,apd_structure_20260818_00046,3.0853661645276177e-10,2099.303765177065,875.1570853709432,285.83631420396017,0.9815054876230254,3e-07,-9.510566226395992,apd_structure_20260818_00046
APD_V_M10,apd_20260818_00091,apd_structure_20260818_00045,7.559763143243246e-10,2747.2715839687603,721.0682656912672,290.84977101120853,1.013778519621368,3e-07,-9.531788009808274,apd_structure_20260818_00045
APD_V_M10,apd_20260818_00098,apd_structure_20260818_00049,1.5117686350421355e-10,2334.1209435682867,776.0623148602024,307.0376588155374,0.9800891490784706,1e-07,-9.4827841520915,apd_structure_20260818_00049
APD_V_M10,apd_20260818_00094,apd_structure_20260818_00047,2.3491848365629516e-10,1985.1846622509463,944.8134809605206,303.30231662194115,1.019129069010776,1e-07,-9.46538488577769,apd_structure_20260818_00047
APD_V_M10,apd_20260818_00096,apd_structure_20260818_00048,1.9982636644340423e-10,4441.968949341442,940.6205937621878,289.3824934866024,1.0160882699877456,1e-07,-9.511996415568982,apd_structure_20260818_00048
APD_V_M10,apd_20260818_00100,apd_structure_20260818_00050,1.0526813482231988e-10,3917.5115177456073,800.2008070704601,299.5149395266995,1.0065375618481451,1e-07,-9.472301175497105,apd_structure_20260818_00050
APD_V_M10,apd_20260818_00099,apd_structure_20260818_00049,1.5117686350421355e-10,2334.1209435682867,776.0623148602024,307.0376588155374,0.9800891490784706,3e-07,-9.483011823579826,apd_structure_20260818_00049
APD_V_M10,apd_20260818_00095,apd_structure_20260818_00047,2.3491848365629516e-10,1985.1846622509463,944.8134809605206,303.30231662194115,1.019129069010776,3e-07,-9.487947218134185,apd_structure_20260818_00047
APD_V_M10,apd_20260818_00097,apd_structure_20260818_00048,1.9982636644340423e-10,4441.968949341442,940.6205937621878,289.3824934866024,1.0160882699877456,3e-07,-9.5005100665493,apd_structure_20260818_00048
APD_V_M10,apd_20260818_00101,apd_structure_20260818_00050,1.0526813482231988e-10,3917.5115177456073,800.2008070704601,299.5149395266995,1.0065375618481451,3e-07,-9.494604974304927,apd_structure_20260818_00050
APD_V_M10,apd_20260818_00104,apd_structure_20260818_00052,2.9222240513372387e-09,1883.80137933856,738.8485895222389,299.8419756763109,1.0166277436050015,1e-07,-9.473268432275272,apd_structure_20260818_00052
APD_V_M10,apd_20260818_00106,apd_structure_20260818_00053,3.306390317579304e-09,2166.4213794464504,615.4881203198381,302.731500562923,1.0043069853840525,1e-07,-9.5044184749238,apd_structure_20260818_00053
APD_V_M10,apd_20260818_00102,apd_structure_20260818_00051,3.141519925408213e-09,3155.34035794258,494.3750340555022,300.0615345339743,0.9970961226424624,1e-07,-9.497619787107425,apd_structure_20260818_00051
APD_V_M10,apd_20260818_00108,apd_structure_20260818_00054,6.780668626725725e-10,4470.808428009963,455.1481224485901,303.4101773014597,0.9956669652558288,1e-07,-9.502139066205393,apd_structure_20260818_00054
APD_V_M10,apd_20260818_00103,apd_structure_20260818_00051,3.141519925408213e-09,3155.34035794258,494.3750340555022,300.0615345339743,0.9970961226424624,3e-07,-9.49234035065128,apd_structure_20260818_00051
APD_V_M10,apd_20260818_00107,apd_structure_20260818_00053,3.306390317579304e-09,2166.4213794464504,615.4881203198381,302.731500562923,1.0043069853840525,3e-07,-9.468620375778364,apd_structure_20260818_00053
APD_V_M10,apd_20260818_00109,apd_structure_20260818_00054,6.780668626725725e-10,4470.808428009963,455.1481224485901,303.4101773014597,0.9956669652558288,3e-07,-9.503584951486552,apd_structure_20260818_00054
APD_V_M10,apd_20260818_00105,apd_structure_20260818_00052,2.9222240513372387e-09,1883.80137933856,738.8485895222389,299.8419756763109,1.0166277436050015,3e-07,-9.476547425476028,apd_structure_20260818_00052
APD_V_M10,apd_20260818_00110,apd_structure_20260818_00055,1.8141081328254096e-10,3625.150641795229,570.809080247742,305.4051171265315,0.9924722750132036,1e-07,-9.475830885703958,apd_structure_20260818_00055
APD_V_M10,apd_20260818_00114,apd_structure_20260818_00057,1.6199035399264699e-09,2516.5086212230526,815.4031107156482,293.36932693691284,1.011128684477974,1e-07,-9.482046027527492,apd_structure_20260818_00057
APD_V_M10,apd_20260818_00116,apd_structure_20260818_00058,1.8579000879795158e-09,2902.216991525619,566.5596254323303,301.49371507691103,1.0090967966537838,1e-07,-9.521526589061867,apd_structure_20260818_00058
APD_V_M10,apd_20260818_00112,apd_structure_20260818_00056,3.474227505010244e-10,3593.181642455114,503.5186507947706,291.08737547758494,1.003198445829229,1e-07,-9.449877195766222,apd_structure_20260818_00056
APD_V_M10,apd_20260818_00111,apd_structure_20260818_00055,1.8141081328254096e-10,3625.150641795229,570.809080247742,305.4051171265315,0.9924722750132036,3e-07,-9.47947794600781,apd_structure_20260818_00055
APD_V_M10,apd_20260818_00113,apd_structure_20260818_00056,3.474227505010244e-10,3593.181642455114,503.5186507947706,291.08737547758494,1.003198445829229,3e-07,-9.468334670648495,apd_structure_20260818_00056
APD_V_M10,apd_20260818_00115,apd_structure_20260818_00057,1.6199035399264699e-09,2516.5086212230526,815.4031107156482,293.36932693691284,1.011128684477974,3e-07,-9.49283876508454,apd_structure_20260818_00057
APD_V_M10,apd_20260818_00117,apd_structure_20260818_00058,1.8579000879795158e-09,2902.216991525619,566.5596254323303,301.49371507691103,1.0090967966537838,3e-07,-9.522700540066916,apd_structure_20260818_00058
APD_V_M10,apd_20260818_00118,apd_structure_20260818_00059,2.747252918127294e-10,3391.1083663618256,768.9585753469079,306.26776524216416,0.9840778463308196,1e-07,-9.552052130034747,apd_structure_20260818_00059
APD_V_M10,apd_20260818_00124,apd_structure_20260818_00062,1.510667128638831e-09,2276.288978029412,701.377515884076,314.3546982642843,1.000264016724307,1e-07,-9.455851521812646,apd_structure_20260818_00062
APD_V_M10,apd_20260818_00120,apd_structure_20260818_00060,2.0668170579174277e-10,3525.9097339971254,524.6731527709055,297.4023285321864,0.9905441052766072,1e-07,-9.496299060758744,apd_structure_20260818_00060
APD_V_M10,apd_20260818_00122,apd_structure_20260818_00061,3.0087801994920063e-10,3365.8626801381106,536.4602295350886,298.60305947845694,1.004969943919788,1e-07,-9.50578093556655,apd_structure_20260818_00061
APD_V_M10,apd_20260818_00119,apd_structure_20260818_00059,2.747252918127294e-10,3391.1083663618256,768.9585753469079,306.26776524216416,0.9840778463308196,3e-07,-9.50331195477844,apd_structure_20260818_00059
APD_V_M10,apd_20260818_00125,apd_structure_20260818_00062,1.510667128638831e-09,2276.288978029412,701.377515884076,314.3546982642843,1.000264016724307,3e-07,-9.47273869591801,apd_structure_20260818_00062
