dark_voltage,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature,dark_current,tcad_model_space,bnn_model_space,formula_model_space,formula_minus_bnn,bnn_minus_tcad,formula_minus_tcad,formula_is_finite
-2.6,1.1065063764088474e-09,2603.202340784687,488.6799605874269,40.68035124967265,296.73843693227377,3.167361726757777e-07,-6.499302335439585,-6.4986806,-6.506163280428085,-0.007482688844833163,0.0006217438563327349,-0.006860944988500428,True
-1.4,1.011801650795657e-09,2503.197375042157,521.464297637573,42.04226242943757,288.6545802497056,1.5660893966757066e-07,-6.805183450850977,-6.8022194,-6.826065564010132,-0.023846173140991134,0.0029640599818367974,-0.020882113159154336,True
-0.6000000000000001,9.454134520298419e-10,2570.8338282332857,490.849029568548,38.28868089781682,299.0569098093356,2.0891787289716158e-07,-6.680024404593267,-6.677094,-6.685258305469938,-0.008164322773405175,0.002930421896733648,-0.005233900876671527,True
-0.8,1.0692616090001279e-09,2445.881237248077,515.6238842072526,38.37558042728467,295.9516778251947,1.783933003741459e-07,-6.748621459742263,-6.7474384,-6.719725004957032,0.02771342582910119,0.0011830289561300944,0.028896454785231285,True
-1.2000000000000002,1.011801650795657e-09,2503.197375042157,521.464297637573,42.04226242943757,288.6545802497056,1.4666652056412728e-07,-6.833669010857736,-6.8310375,-6.851249086969216,-0.020211565606911286,0.0026314894954309054,-0.01758007611148038,True
-1.4,1.0511173572717443e-09,2495.130349883853,523.8477826070769,41.27631172344517,301.59948365785385,3.445950699046749e-07,-6.462690940261499,-6.4631915,-6.462091345319441,0.0011001639273855446,-0.0005005689853270212,0.0005995949420585234,True
-1.6,8.688108546297865e-10,2646.5653288453154,498.36187777461095,39.94029005251662,299.6218359156308,3.373899478951424e-07,-6.471867860806478,-6.471384,-6.498820565669302,-0.027436517207387823,0.00048381234456407185,-0.02695270486282375,True
-0.6000000000000001,9.980121445569454e-10,2387.75545073954,508.7275610680178,38.8972081784186,297.8606493603604,1.836321406281696e-07,-6.736051303113921,-6.7311115,-6.715625072274857,0.015486454214400425,0.004939776624663494,0.02042623083906392,True
-3.0,8.64757430416121e-10,2613.398572092139,483.2695161383806,39.73131063338137,294.42197627514213,2.948172859897864e-07,-6.530447056125437,-6.5284877,-6.558140646825551,-0.029652964483021904,0.0019593737829080027,-0.0276935907001139,True
-1.4,8.64757430416121e-10,2613.398572092139,483.2695161383806,39.73131063338137,294.42197627514213,2.302357977142549e-07,-6.637827150119447,-6.637124,-6.662326278930721,-0.025202217346248723,0.000703088534974583,-0.02449912881127414,True
-1.6,9.676899592457672e-10,2498.119875502734,535.4265253830317,42.346830624956574,300.5747457097431,3.566490166719587e-07,-6.447758969048404,-6.450806,-6.46161381711204,-0.010807676212381878,-0.003047171851254582,-0.01385484806363646,True
-0.2,1.0511173572717443e-09,2495.130349883853,523.8477826070769,41.27631172344517,301.59948365785385,1.6169496969081536e-07,-6.791303490727505,-6.7880588,-6.770130096267516,0.017928661514466704,0.0032447329455225216,0.021173394459989225,True
-1.2000000000000002,1.1065063764088474e-09,2603.202340784687,488.6799605874269,40.68035124967265,296.73843693227377,2.417637672071432e-07,-6.616608785696448,-6.6152096,-6.617271963501139,-0.0020623840333655608,0.001399206228674288,-0.0006631778046912729,True
-1.8,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,3.810584925246078e-07,-6.419008354951967,-6.422385,-6.417291794529655,0.005093421229622308,-0.0033768608073101447,0.0017165604223121633,True
-2.2,1.1065063764088474e-09,2603.202340784687,488.6799605874269,40.68035124967265,296.73843693227377,3.0098835210271106e-07,-6.521450310769606,-6.520091,-6.527075312310886,-0.006984255487155089,0.0013592539458757713,-0.0056250015412793175,True
-1.0,9.431291378149591e-10,2617.847164727645,540.4486468445567,38.69622270488729,301.9657628923453,3.076894442794245e-07,-6.511887402582028,-6.5113034,-6.51867441532653,-0.00737099049132528,0.0005839777468228391,-0.006787012744502441,True
-1.4,1.0727653122619132e-09,2512.3283017034155,474.34077412964,42.74916053103488,290.5746947786968,1.79742247787579e-07,-6.745349831491278,-6.7464623,-6.757180468264803,-0.010718123141511882,-0.0011125136320133677,-0.01183063677352525,True
-0.2,1.1065063764088474e-09,2603.202340784687,488.6799605874269,40.68035124967265,296.73843693227377,1.1778960611333193e-07,-6.928893030489326,-6.9285254,-6.908514123598324,0.020011324247135143,0.0003675826438671592,0.020378906891002302,True
-0.6000000000000001,9.431291378149591e-10,2617.847164727645,540.4486468445567,38.69622270488729,301.9657628923453,2.57282436826889e-07,-6.589589859532002,-6.58571,-6.607110667267149,-0.021400618591611575,0.003879810856465049,-0.017520807735146526,True
-2.8000000000000003,1.1065063764088474e-09,2603.202340784687,488.6799605874269,40.68035124967265,296.73843693227377,3.236580401115055e-07,-6.489913600038944,-6.489162,-6.497483585062999,-0.008321616831797662,0.0007516318077431805,-0.007569985024054482,True
