parameter_degree,alpha,derivative_weight,q_validation_r2,q_validation_active_p95_relative_error,q_validation_rmse_C,dqdv_validation_median_relative_error,dqdv_validation_p95_relative_error,dqdv_validation_max_relative_error,q_accuracy_eligible,selected,selection_criterion
1,1e-06,0.03,0.999990429162457,0.0034855029193455976,2.480704370432047e-18,0.03598882560424662,0.0865005774345293,0.08717144434032889,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-06,0.1,0.9999871276816004,0.005009167765240892,2.8769242456398323e-18,0.021722246831233773,0.07638604097179591,0.07866681737783128,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-06,0.3,0.9999785743795185,0.008280088279876356,3.711647666306015e-18,0.019842130238871946,0.05837572619410324,0.06222269974765395,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-06,1.0,0.9999653703259509,0.0116639049781125,4.718720364301742e-18,0.01272496436852526,0.03557641238005062,0.03759762601743405,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-06,3.0,0.999956835233282,0.01361689942026036,5.268230139362999e-18,0.013131377133826354,0.02321688221662686,0.02386177967349909,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-06,10.0,0.9999526726303606,0.014429804686331597,5.516406016758514e-18,0.014303438332737029,0.02195081638714666,0.024037845372559513,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-05,0.0,0.999991632832193,0.0030595415927832967,2.3194727735194034e-18,0.08828803611486429,0.16974540238217112,0.17242385394174853,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-05,0.003,0.9999912223409806,0.0031506293587740195,2.375687937397056e-18,0.08758506718169334,0.15489153153150395,0.15640584612622968,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-05,0.01,0.9999893897605742,0.0031607630115394413,2.611936603324245e-18,0.08722103824299951,0.13061295884750512,0.1375636805126373,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-05,0.03,0.9999848652882923,0.0038758956667453797,3.1195152704261554e-18,0.07815365517489267,0.0945133248236674,0.0991033024870696,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-05,0.1,0.9999765311279153,0.005363080327416619,3.884598592434274e-18,0.043912939465494384,0.07692707126372512,0.07920309733714981,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-05,0.3,0.9999650503725571,0.008344976360490253,4.740469043062155e-18,0.027794171982397597,0.058870426445485895,0.06276202752749736,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-05,1.0,0.9999503394471801,0.01180028289549773,5.650746366204308e-18,0.016989113540279828,0.03586357277230268,0.03792979476944565,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-05,3.0,0.9999412293689779,0.013772404877377856,6.1472406691198306e-18,0.013476528047112017,0.02270532060255412,0.022947786183232406,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,1e-05,10.0,0.9999368314000593,0.014594395896155528,6.373099004766156e-18,0.0143542703554964,0.021771289984312627,0.023762267502698792,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,0.0001,0.0,0.9999916328315569,0.0030587847703958115,2.3194728616784364e-18,0.08829287913545207,0.1697194004887673,0.17239686250679734,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,0.0001,0.003,0.999991164826221,0.0031481080648471348,2.3834584617009875e-18,0.08755227160032758,0.15927936168676113,0.15973122626095929,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,0.0001,0.01,0.9999885417220339,0.003332362646778753,2.7143116849864086e-18,0.08714968425689287,0.14313887135694806,0.14776908752146242,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
1,0.0001,0.03,0.9999802529731567,0.004062352830684165,3.5632877744109605e-18,0.07824133018892047,0.11116631000943096,0.11956265141666844,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
